zip,domestic_residential_occupancy,single_family_dwellings,two_unit_residential_structures,three_unit_residential_structures,four_unit_residential_structures,five_unit_residential_structures,six_to_12_unit_residential_structures,more_than_12_unit_residential_structures,combination_residential_commercial_structures,commercial_structures,industrial_structures,grand_total,year,NAME,total_population,white,black,native_american,asian,pacific_islander,other_race,two_or_more_races,pct_white,pct_black,pct_asian,pct_native_american,pct_pacific_islander,pct_other_race,pct_two_or_more_races,debt_per_capita,debt_per_1000_people,median_income,log_debt_per_capita,log_income,pct_nonwhite
60007,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60007,32768,24757,760,82,3690,0,913,2566,0.755523681640625,0.023193359375,0.11260986328125,0.00250244140625,0,0.027862548828125,0.07830810546875,0,0,94051,0,11.451592467314862,0.244476318359375
60018,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60018,28820,17848,618,714,2818,0,2415,4407,0.619292158223456,0.02144344205412907,0.09777931991672448,0.02477446217904233,0,0.08379597501734906,0.1529146426092991,0,0,75528,0,11.232258727412352,0.38070784177654404
60053,0,1.06,0,0,0,0,0,0,0,0,0,1.06,2022,ZCTA5 60053,24910,14091,387,155,8397,0,538,1342,0.5656764351665997,0.01553592934564431,0.3370935367322361,0.00622240064231232,0,0.02159775190686471,0.05387394620634284,4.2553191489361704e-5,0.0425531914893617,102940,4.255228612801159e-5,11.541901573206745,0.4343235648334003
60077,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60077,29330,14480,2671,69,8468,8,1229,2405,0.4936924650528469,0.0910671667234913,0.2887146266621207,0.00235254006137061,2.727582679849983e-4,0.04190248891919536,0.08199795431299012,0,0,77826,0,11.262230844568728,0.5063075349471531
60103,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60103,42047,28706,1592,320,6710,26,2556,2137,0.6827122030109164,0.03786239208504768,0.15958332342378767,0.00761053107237139,6.183556496301757e-4,0.06078911694056651,0.05082407781768022,0,0,127138,0,11.753028389676095,0.3172877969890836
60153,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60153,23385,3183,14167,56,239,0,3849,1891,0.13611289288005132,0.6058156938208253,0.01022022664100919,0.00239469745563395,0,0.1645926876202694,0.08086380158221082,0,0,64767,0,11.07855149336457,0.8638871071199486
60160,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60160,25177,9882,998,174,95,0,8524,5504,0.3925010922667514,0.03963935337808317,0.0037732851412003,0.00691106962704055,0,0.3385629741430671,0.2186122254438575,0,0,64400,0,11.072868912092446,0.6074989077332487
60171,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60171,10532,7580,3,197,145,0,2111,496,0.7197113558678314,2.84846183061147e-4,0.0137675655146221,0.01870489935434865,0,0.2004367641473604,0.0470945689327763,0,0,72466,0,11.190872765326805,0.2802886441321686
60176,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60176,11600,7966,148,0,753,0,2034,699,0.6867241379310345,0.01275862068965517,0.06491379310344828,0,0,0.1753448275862069,0.06025862068965517,0,0,65862,0,11.095316922915371,0.3132758620689655
60201,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60201,43122,27997,5904,99,4533,17,933,3639,0.6492509623857892,0.13691387226937526,0.10512035619869207,0.00229581188256574,3.942303232688651e-4,0.02163628774175595,0.08438847919855294,0,0,89032,0,11.396751134653261,0.35074903761421083
60301,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60301,3207,1686,505,104,423,0,159,330,0.5257249766136576,0.1574680386654194,0.13189897100093545,0.03242906142812597,0,0.04957904583723106,0.1028999064546305,0,0,89654,0,11.403713095996656,0.4742750233863424
60302,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60302,33063,20959,6934,111,1576,10,746,2727,0.6339110183588906,0.20972083597979616,0.04766657593079878,0.00335722711187732,3.024528929619212e-4,0.02256298581495932,0.08247890391071591,0,0,94036,0,11.451432966657913,0.36608898164110937
60304,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60304,17564,11313,2805,43,1179,0,435,1789,0.6441015713960373,0.1597016624914598,0.06712593942154407,0.0024481894784787,0,0.024766567979959,0.10185606923252108,0,0,130290,0,11.777518014196977,0.3558984286039627
60402,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60402,64659,24719,5006,497,2208,0,22937,9292,0.3822979012975765,0.07742154997757467,0.03414837841599777,0.00768647829381833,0,0.35473793284770877,0.14370775916732395,0,0,71449,0,11.176739187458812,0.6177020987024235
60406,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60406,24959,11180,8270,35,145,65,3533,1731,0.4479346127649345,0.3313434031812172,0.0058095276253055,0.00140229977162546,0.00260427100444729,0.1415521455186506,0.06935374013381947,0,0,55830,0,10.930066638304407,0.5520653872350655
60419,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60419,21283,1056,19409,8,43,0,200,567,0.04961706526335573,0.9119485035004464,0.00202039186204952,3.758868580557253e-4,0,0.00939717145139313,0.02664098106469952,0,0,54748,0,10.910496117331157,0.9503829347366443
60456,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60456,4299,2984,83,12,55,0,556,609,0.6941149104442894,0.01930681553849732,0.01279367294719702,0.00279134682484298,0,0.1293324028843917,0.14166085136078158,0,0,56841,0,10.948013175300472,0.3058850895557106
60459,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60459,29122,17622,432,168,738,0,4597,5565,0.6051095391800013,0.0148341460064556,0.02534166609436165,0.00576883455806606,0,0.15785316942517685,0.19109264473593848,0,0,81060,0,11.3029449001823,0.3948904608199987
60501,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60501,11655,4776,1060,150,429,0,3417,1823,0.4097812097812098,0.09094809094809096,0.0368082368082368,0.01287001287001287,0,0.2931788931788932,0.15641355641355642,0,0,55429,0,10.922858201478968,0.5902187902187902
60513,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60513,19366,15730,731,67,167,0,1007,1664,0.8122482701642053,0.03774656614685531,0.00862336052876174,0.00345967158938345,0,0.0519983476195394,0.08592378395125477,0,0,98984,0,11.502713499893812,0.1877517298357947
60546,0,0,0,0,0,0,0,0,0,0,0,0,2022,ZCTA5 60546,16470,11553,752,87,386,0,1171,2521,0.7014571948998178,0.04565877352762598,0.02343655130540376,0.0052823315118397,0,0.0710989678202793,0.15306618093503338,0,0,106967,0,11.58027565466057,0.29854280510018216
60601,0,7763.06,0,0,0,0,0,172127.66,122740.78,245789.57,13534.57,561955.64,2022,ZCTA5 60601,16398,9364,1076,6,4423,0,503,1026,0.571045249420661,0.06561775826320283,0.26972801561165993,3.658982802780826e-4,0,0.03067447249664593,0.06256860592755215,34.26976704476156,34269.76704476156,121294,3.563026139314369,11.705972629570251,0.42895475057933896
60603,0,0,0,0,0,0,0,14256.49,0,177092.15,75070.6,266419.24,2022,ZCTA5 60603,1110,594,70,0,391,0,20,35,0.5351351351351351,0.06306306306306306,0.35225225225225226,0,0,0.01801801801801801,0.03153153153153153,240.0173333333333,240017.3333333333,124888,5.484868853449305,11.735172614636502,0.4648648648648649
60604,0,0,0,0,0,0,0,0,0,-271047.37,0,-271047.37,2022,ZCTA5 60604,737,546,22,0,136,0,3,30,0.7408412483039348,0.02985074626865671,0.18453188602442333,0,0,0.00407055630936227,0.0407055630936228,-367.77119402985073,-367771.1940298507,76667,NA,11.247226647053857,0.25915875169606517
60605,0,19163.01,0,0,0,0,11.64,42279.96,179708.89,153141.41,11215.36,405520.27,2022,ZCTA5 60605,34314,20359,5210,73,5434,0,795,2443,0.5933146820539721,0.15183307104971733,0.1583610188261351,0.00212741155213615,0,0.02316838608148277,0.0711954304365565,11.817924753744828,11817.924753744828,116462,2.550844562706311,11.665320318522031,0.4066853179460279
60606,0,0,0,0,0,0,0,17193.02,124439.93,469204.86,-10329.55,600508.26,2022,ZCTA5 60606,3513,2103,69,60,1169,0,21,91,0.5986336464560205,0.01964133219470538,0.3327640193566752,0.0170794192997438,0,0.00597779675491033,0.02590378593794477,170.93887275832623,170938.87275832624,133333,5.1471390227071625,11.800605037418885,0.40136635354397954
60607,0,52120.88,91269.48,28824.2,51431.36,0,34461.13,126020.49,169926.02,632272.59,48379.15,1234705.3,2022,ZCTA5 60607,28797,16000,3350,73,6577,88,989,1720,0.5556134319547175,0.11633156231551896,0.2283918463728861,0.00253498628329339,0.00305587387575094,0.03434385526270098,0.05972844393513213,42.87617807410494,42876.178074104944,119500,3.781371532117407,11.691071650353702,0.44438656804528254
60608,5320.72,1077197.42,1782261.65,995320.08,1189428.34,410.84,295179.69,126313.69,1099760.63,388243.13,274851.2,7234287.39,2022,ZCTA5 60608,82749,27555,14143,754,11715,0,18602,9980,0.3329949606641772,0.17091445213839443,0.14157270782728493,0.00911189259084701,0,0.22480029970150697,0.12060568707778946,87.42446905702788,87424.46905702788,66821,4.482148730629389,11.109772681377931,0.6670050393358228
60609,8088.12,5277483.72,10383777.67,4864161.43,3403812.5,0,139599.86,155750.53,2419217.21,2164209.71,551911.22,29368011.97,2022,ZCTA5 60609,63241,19833,14332,775,3751,54,17304,7192,0.3136098417166079,0.22662513242991095,0.05931278759032905,0.01225470817982005,8.53876440916494e-4,0.2736199617336854,0.11372369190873008,464.382472921048,464382.472921048,47209,6.14285958991203,10.762339831363015,0.6863901582833921
60610,-10307.35,99902.62,4733.9,33853.66,19355.2,0,25815.16,350471.58,211138.86,175318.44,43015.2,953297.27,2022,ZCTA5 60610,42904,30791,4682,429,4339,8,389,2266,0.7176720119336193,0.10912735409285848,0.10113276151407792,0.00999906768599664,1.8646280067126608e-4,0.00906675368264031,0.05281558829013612,22.219309854559015,22219.309854559015,106277,3.144984253802155,11.573804172151302,0.2823279880663807
